"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCCRP1",180.451967241962,-2.06052356961568,0.394610763492988,-5.22166083706508,1.77325520626083e-07,0.000212365043501797
"CHADL",114.076414334429,-1.63657669673747,0.315640630276461,-5.18493672789855,2.16088213313005e-07,0.000242340089074814
"ST8SIA5",174.366220613184,-2.15566397490851,0.416198851948877,-5.17940874852125,2.22590262176265e-07,0.000242340089074814
"SBSN",531.439793231952,-2.55350569994279,0.495220182501537,-5.15630378197453,2.51872155060541e-07,0.000262297472087395
"PLA2G2D",644.761019864439,1.92704849690913,0.383649810069898,5.02293614209802,5.08874679380714e-07,0.000469631768717175
"EPHX3",59.9669408304115,-1.71232345963834,0.340928910264298,-5.02252348828646,5.09969582312769e-07,0.000469631768717175
"DMBT1",117.886110213952,-2.39467950145745,0.477278221928925,-5.01736595434697,5.23847266152318e-07,0.000469631768717175
"IL36B",16.6492961585731,-3.15190278005976,0.628452322192256,-5.01534113051702,5.29394528864551e-07,0.000469631768717175
"SAA2",133.301322783781,2.11596312486558,0.423278658397053,4.99898372594235,5.7633266272043e-07,0.000492113763163499
"S100A2",437.426382737303,-2.04277536841894,0.409163568998492,-4.99256415574592,5.95829122066695e-07,0.000492113763163499
"FAM135B",109.775080611559,-1.99373983812972,0.401849215275086,-4.96141279451027,6.99822882368908e-07,0.000558738589283336
"A2ML1",196.859878268542,-1.7592746077968,0.355290495608167,-4.95165119681958,7.3586413347041e-07,0.000568561862093008
"KRT4",22.6024624309865,-3.58354542895455,0.725157053951977,-4.94175076891945,7.74241494444523e-07,0.000579519758591726
"SLAMF1",655.656977351269,1.76047663015533,0.357155675274152,4.929157653183,8.25849133652021e-07,0.000599416316643431
"IRF1",2531.77686936647,1.01146002143373,0.205671078783279,4.9178524633477,8.74988173839507e-07,0.000605468056726847
"MYBPC2",99.6573120386251,2.34239986792059,0.476515843563069,4.91568097800417,8.84743736867053e-07,0.000605468056726847
"STAT1",38954.3622038505,0.810918925368493,0.16523906264567,4.90754977899738,9.22212533101724e-07,0.000613578738690347
"LAP3",6395.60252968424,0.623541287219975,0.127385350153863,4.89492148403899,9.8344984929889e-07,0.000613760970747497
"LUZP2",23.1230291024359,-1.55590609376224,0.31830298616804,-4.88812911400346,1.01798761321327e-06,0.000613760970747497
"CETP",520.9588234507,1.20671605918483,0.246907250721368,4.88732532422305,1.02215114468718e-06,0.000613760970747497
"CXCL13",1189.24821220847,1.87902715358095,0.384820876858817,4.88286178473194,1.04557162172213e-06,0.000613760970747497
"AJAP1",99.608134294494,-1.84286395552769,0.377487982976914,-4.88191422941373,1.0506095441152e-06,0.000613760970747497
"TRAJ12",40.0305585964319,1.92718366450417,0.396496966424487,4.86052562238506,1.17074489296437e-06,0.00066765908753054
"VAT1L",112.482716297216,-1.8287135287167,0.37761421070619,-4.8428090809844,1.28016280950347e-06,0.000713080456121559
"PASD1",77.1645502897129,4.27554012246963,0.884229898159634,4.83532634597451,1.32927374369172e-06,0.000723608288838732
"PRSS3",86.5384854361812,-2.30063968331342,0.479634890928542,-4.79664788118215,1.61342855188725e-06,0.000858774237217852
"CXCL11",347.129397058794,1.60804823951741,0.33743147097998,4.76555501728178,1.88334496471718e-06,0.000980649534671868
"IGLV7-46",206.977089751546,2.3730568684472,0.499695432280542,4.74900652506846,2.04418347884731e-06,0.001041750695433
"MAGEA9B",91.6787113248344,3.36958119570169,0.711165510054069,4.73811109799954,2.15719543511167e-06,0.00107644052212073
"KLK5",192.131248961677,-4.44252202389656,0.938588719336616,-4.7331934982518,2.21014606700397e-06,0.00108035548156896
"NUGGC",173.024603616368,1.44596525471611,0.306454462384551,4.71836906359566,2.3774290672234e-06,0.0011388836203627
"POU2F3",102.416803003627,-1.96538202081575,0.417358630648661,-4.70909638974313,2.48817391584955e-06,0.00116856356142017
"RTL1",32.9675887474644,-1.82453921802088,0.387836088220325,-4.704408056489,2.54603571941208e-06,0.0011727432221415
